N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
87,한진칼,"60,000","1,200",-1.96%,"2,500","40,057","66,761",14.75,"56,265",233.46,1.11,
88,삼성카드,"33,050",450,+1.38%,"5,000","38,291","115,859",7.25,"76,593",6.95,7.53,
89,이마트,"137,000",500,+0.37%,"5,000","38,190","27,876",30.20,"85,215",2.43,16.25,
90,NH투자증권,"11,350",50,+0.44%,"5,000","37,644","331,666",16.01,"468,896",3.70,14.77,
91,아모레G,"45,500",850,+1.90%,500,"37,518","82,458",15.39,"71,426",24.27,5.49,
92,GS건설,"43,150",150,-0.35%,"5,000","36,928","85,581",27.59,"360,876",9.00,9.32,
93,삼성증권,"41,050",200,+0.49%,"5,000","36,658","89,300",30.02,"155,056",3.80,16.94,
94,한국가스공사,"37,800",550,+1.48%,"5,000","34,894","92,313",10.50,"194,166",3.67,11.63,
95,오리온,"87,900",700,+0.80%,500,"34,752","39,536",36.18,"87,431",13.49,12.75,
96,현대오토에버,"126,000","2,000",-1.56%,500,"34,554","27,424",1.86,"34,470",46.63,7.26,
97,팬오션,"6,460",60,+0.94%,"1,000","34,533","534,570",14.29,"2,479,524",6.28,17.16,
98,롯데지주,"32,500",50,-0.15%,200,"34,096","104,909",7.78,"75,335",11.15,4.61,
99,한미약품,"274,500",500,+0.18%,"2,500","33,813","12,318",13.32,"18,259",50.45,8.75,
100,호텔신라,"83,000",100,-0.12%,"5,000","32,576","39,248",13.74,"180,525",122.60,4.51,
101,현대차2우B,"87,500","1,300",+1.51%,"5,000","31,925","36,485",61.10,"61,499",4.90,N/A,
102,BGF리테일,"182,000","3,500",+1.96%,"1,000","31,457","17,284",30.69,"29,036",21.31,19.61,
103,GS리테일,"29,400",250,+0.86%,"1,000","30,787","104,718",7.38,"204,777",3.28,25.58,
104,DB하이텍,"68,600","1,100",-1.58%,"5,000","30,457","44,399",23.63,"592,807",9.64,33.35,
105,현대미포조선,"76,200","2,200",+2.97%,"5,000","30,436","39,942",10.42,"237,294",-19.06,-7.11,
106,TIGER 차이나전기차SOLACTIVE,"13,385",795,-5.61%,0,"30,368","226,880",0.32,"10,006,215",N/A,N/A,
107,한전기술,"79,300","1,100",-1.37%,200,"30,308","38,220",1.21,"164,905",184.42,3.25,
108,한화시스템,"15,900",150,+0.95%,"5,000","30,038","188,919",3.05,"484,434",25.24,6.04,
109,한미사이언스,"43,350",200,+0.46%,500,"29,748","68,624",2.09,"39,389",69.25,6.37,
110,현대해상,"32,850",300,+0.92%,500,"29,368","89,400",27.12,"334,802",6.79,8.82,
111,제일기획,"24,950",200,+0.81%,200,"28,703","115,041",31.76,"206,417",17.35,15.58,
112,KCC,"318,000","1,000",-0.31%,"5,000","28,259","8,886",10.38,"18,892",-61.72,-0.92,
113,CJ대한통운,"122,000",0,0.00%,"5,000","27,831","22,812",19.88,"53,031",50.83,1.59,
114,대우건설,"6,620",20,-0.30%,"5,000","27,514","415,623",11.08,"986,501",5.68,16.47,
115,한화생명,"3,165",40,+1.28%,"5,000","27,489","868,530",7.95,"1,540,351",2.31,10.79,
116,에스원,"72,000",200,-0.28%,500,"27,359","37,999",53.38,"23,576",21.21,9.13,
117,롯데쇼핑,"95,600","1,100",+1.16%,"5,000","27,044","28,289",10.87,"60,693",-9.25,-2.94,
118,씨에스윈드,"63,100","1,500",+2.44%,500,"26,610","42,171",10.73,"243,605",39.41,10.13,
119,포스코인터내셔널,"21,500",350,+1.65%,"5,000","26,526","123,375",6.50,"315,029",7.35,10.86,
120,BNK금융지주,"8,030",110,+1.39%,"5,000","26,173","325,935",39.89,"1,005,702",3.31,8.76,
121,키움증권,"99,700","1,200",+1.22%,"5,000","26,141","26,220",25.40,"50,932",3.04,25.38,
122,동서,"26,200",150,+0.58%,500,"26,121","99,700",2.93,"38,790",23.04,8.05,
123,하이트진로,"37,000",500,+1.37%,"5,000","25,949","70,134",8.19,"167,823",36.74,6.62,
124,한화에어로스페이스,"51,000",300,+0.59%,"5,000","25,821","50,630",21.38,"164,281",10.22,9.21,
125,대우조선해양,"24,000",200,+0.84%,"5,000","25,750","107,291",4.29,"138,365",-1.51,-55.86,
126,한솔케미칼,"226,000","10,500",-4.44%,"5,000","25,618","11,335",38.40,"65,196",17.27,23.88,
127,두산퓨얼셀,"38,950",150,+0.39%,100,"25,510","65,494",14.32,"419,457",367.45,1.69,
128,CJ,"87,400",500,+0.58%,"5,000","25,501","29,177",17.55,"48,463",11.34,5.66,
129,OCI,"106,000","1,000",-0.93%,"5,000","25,280","23,849",14.43,"144,233",3.90,23.93,
130,신세계,"256,500","1,500",+0.59%,"5,000","25,253","9,845",25.92,"26,026",8.23,8.54,
131,SK케미칼,"135,000","1,500",-1.10%,"5,000","23,788","17,621",18.55,"59,072",15.84,11.19,
132,만도,"50,400",800,+1.61%,"1,000","23,666","46,957",18.44,"405,374",14.16,9.31,
133,효성첨단소재,"517,000","12,000",-2.27%,"5,000","23,161","4,480",7.13,"35,645",9.24,54.69,
134,한화,"30,550",50,-0.16%,"5,000","22,900","74,959",16.22,"107,035",3.32,20.22,
135,영원무역,"50,500",0,0.00%,500,"22,377","44,311",28.13,"143,665",7.51,14.71,
136,롯데정밀화학,"86,200",900,+1.06%,"5,000","22,240","25,800",20.65,"189,543",3.80,30.43,
137,녹십자,"188,000",0,0.00%,"5,000","21,971","11,687",22.29,"27,004",17.83,10.30,
138,대한전선,"1,765",15,+0.86%,100,"21,965","1,244,473",2.95,"24,049,889",58.83,7.78,
139,솔루스첨단소재,"71,200","2,500",-3.39%,100,"21,780","30,590",5.94,"325,132",246.37,4.00,
140,KODEX 레버리지,"19,300",25,-0.13%,0,"21,269","110,200",1.72,"12,548,469",N/A,N/A,
141,현대차우,"86,800","1,200",+1.40%,"5,000","21,142","24,357",56.92,"49,758",4.86,N/A,
142,TIGER 미국나스닥100,"78,775","1,270",-1.59%,0,"21,135","26,830",0.04,"210,870",N/A,N/A,
143,현대로템,"18,950",150,-0.79%,"5,000","20,682","109,142",4.07,"342,588",31.12,5.01,
144,KODEX 200선물인버스2X,"2,565",5,+0.20%,0,"20,610","803,500",6.88,"156,358,520",N/A,N/A,
145,LG화학우,"258,500","3,500",-1.34%,"5,000","19,876","7,689",71.52,"2,885",5.51,N/A,
146,휠라홀딩스,"32,600",600,+1.88%,"1,000","19,805","60,752",39.59,"462,142",8.42,16.20,
147,농심,"319,500","6,500",+2.08%,"5,000","19,434","6,083",12.12,"27,597",19.47,4.73,
148,대웅제약,"166,500","5,000",-2.92%,"2,500","19,292","11,587",7.80,"20,910",78.24,4.39,
149,후성,"20,300",550,+2.78%,500,"18,799","92,607",6.47,"3,477,472",83.20,9.61,
150,효성티앤씨,"433,000","4,000",-0.92%,"5,000","18,739","4,328",10.75,"25,489",2.43,76.22,
151,한전KPS,"41,300","1,100",-2.59%,200,"18,585","45,000",5.40,"199,484",18.83,9.12,
152,TIGER 200,"36,110",10,-0.03%,0,"18,524","51,300",0.79,"636,692",N/A,N/A,
153,한샘,"77,400","2,600",-3.25%,"1,000","18,215","23,534",14.84,"99,046",32.56,9.10,
154,신풍제약,"33,900","2,000",-5.57%,500,"17,962","52,985",5.33,"663,179",-161.43,-3.19,
155,일동제약,"69,500","3,500",-4.79%,"1,000","17,933","25,803",1.92,"2,935,139",-16.59,-48.94,
156,현대백화점,"75,700",600,+0.80%,"5,000","17,716","23,402",18.03,"47,492",9.35,4.36,
157,TIGER 단기통안채,"100,735",15,-0.01%,0,"17,569","17,441",0.68,"1,660,537",N/A,N/A,
158,효성,"83,300",0,0.00%,"5,000","17,552","21,071",6.82,"22,152",4.01,18.04,
159,LS,"54,100","1,700",+3.24%,"5,000","17,420","32,200",13.04,"278,315",6.27,8.15,
160,대웅,"29,650",450,-1.50%,500,"17,239","58,142",4.62,"34,346",21.88,11.13,
161,아이에스동서,"55,500",700,+1.28%,500,"17,145","30,893",4.21,"56,643",16.33,8.69,
162,JB금융지주,"8,700",180,+2.11%,"5,000","17,138","196,983",41.77,"427,356",3.38,12.80,
163,롯데렌탈,"46,400","1,250",-2.62%,"5,000","16,998","36,634",3.55,"273,246",12.59,12.28,
164,롯데칠성,"183,000","4,500",+2.52%,500,"16,980","9,279",9.82,"24,381",13.37,9.96,
165,오뚜기,"459,500","5,000",-1.08%,"5,000","16,873","3,672",11.92,"2,962",13.04,8.91,
166,동원시스템즈,"57,800","2,000",-3.34%,"5,000","16,871","29,188",13.10,"60,091",38.82,6.95,
167,현대위아,"61,500",500,+0.82%,"5,000","16,725","27,195",6.64,"107,841",26.83,1.96,
168,코오롱인더,"60,100",300,-0.50%,"5,000","16,539","27,519",19.62,"76,352",9.49,8.20,
169,두산,"98,800",200,+0.20%,"5,000","16,326","16,524",10.68,"52,571",9.99,11.08,
170,한미반도체,"16,500",500,-2.94%,100,"16,322","98,920",5.88,"273,858",15.74,34.59,
171,아시아나항공,"21,900",650,-2.88%,"5,000","16,296","74,412",7.67,"426,900",-4.50,-47.21,
172,KG스틸,"15,950",200,+1.27%,"5,000","15,951","100,009",0.75,"13,757,829",8.36,17.99,
173,TIGER 미국S&P500,"13,890",20,-0.14%,0,"15,842","114,050",0.09,"1,125,843",N/A,N/A,
174,DGB금융지주,"9,330",90,+0.97%,"5,000","15,781","169,146",50.25,"446,096",3.14,9.63,
175,동국제강,"16,400",350,+2.18%,"5,000","15,651","95,433",21.65,"377,245",2.84,23.41,
176,KODEX 단기채권,"103,280",15,-0.01%,0,"15,585","15,090",0.00,"10,674",N/A,N/A,
177,KODEX 삼성그룹,"9,040",30,-0.33%,0,"15,531","171,800",0.15,"349,874",N/A,N/A,
178,LIG넥스원,"69,600",700,-1.00%,"5,000","15,312","22,000",7.50,"81,645",14.58,14.63,
179,일진하이솔루스,"42,100",900,-2.09%,500,"15,288","36,313",1.52,"103,664",148.24,4.97,
180,현대엘리베이,"36,750",50,-0.14%,"5,000","15,000","40,815",30.00,"66,380",13.26,10.62,
181,케이카,"31,150",400,-1.27%,500,"14,979","48,087",17.44,"81,577",31.03,20.96,
182,ESR켄달스퀘어리츠,"6,960",20,+0.29%,"1,000","14,831","213,089",53.99,"477,972",53.95,1.34,
183,KODEX MSCI Korea TR,"11,525",15,-0.13%,0,"14,798","128,400",4.43,"273,222",N/A,N/A,
184,한일시멘트,"20,350",0,0.00%,500,"14,095","69,262",2.93,"105,889",17.93,5.89,
185,롯데리츠,"5,770",30,+0.52%,500,"14,019","242,969",9.45,"347,149",75.92,1.59,
